"","AAPL","BAC","BLK","CME","CMG","CRM","DXC","EA","FB","GD","GOOG","GOOGL","GS","HPE","IBM","INTC","JPM","KO","MCD","MSFT","NDAQ","NFLX","NOC","NVDA","QCOM"
"GOOG",0.562149560188033,0.396651581440704,0.482184714571318,0.112180503310977,0.116816116268304,0.419655348318727,0.290356208001796,0.297788422333234,0.573164246600393,0.326893465010503,1,0.997434210994037,0.423305308862476,0.379144456282682,0.397413946999376,0.380430243056039,0.423748398708643,0.20611389805685,0.163970817494952,0.632268243081576,0.334540107139915,0.452237324948466,0.145553810018644,0.45632514775408,0.301352903881431
"GOOGL",0.560367442312915,0.394914060923798,0.485202328440323,0.119118180137738,0.126130436999585,0.42389466862696,0.294392017469824,0.297369150636962,0.580923690639944,0.332008840526673,0.997434210994037,1,0.422145653829502,0.382317074324602,0.40301595544755,0.381483266330794,0.422603086517848,0.208200980117073,0.166293645213255,0.640780238001783,0.33791243364628,0.456423201106728,0.153893549480481,0.457088554730552,0.29945234631241
"GS",0.484421405375649,0.862142171003138,0.691163525781129,0.0629515067642793,0.0803288250476685,0.294861575080466,0.34908654703854,0.19788545570908,0.272547812984427,0.492283232334522,0.423305308862476,0.422145653829502,1,0.506240932822232,0.444550847368221,0.423243635595536,0.796102027605393,0.0900778614235658,0.0870505633381066,0.478146712804516,0.326892321307961,0.285488019936784,0.220106999609706,0.485020743274265,0.382790428209629
"HPE",0.511366262764448,0.55707251110694,0.573543909847915,-0.0213316223146366,0.0949867394034352,0.319608185074393,0.361759277288355,0.215623248762224,0.350676448368856,0.40468870194644,0.379144456282682,0.382317074324602,0.506240932822232,1,0.51138484457483,0.488810664377107,0.566343873061464,0.0534753527556468,0.0947127343448467,0.451744764617101,0.246530157659319,0.37199465909746,0.181646378206439,0.520801017524244,0.338038314441321
"IBM",0.464621104013769,0.472774593280698,0.548611936732606,0.117097952392892,0.183356764953673,0.378203324863888,0.419379275952333,0.249515047339347,0.251986989169221,0.449010217772403,0.397413946999376,0.40301595544755,0.444550847368221,0.51138484457483,1,0.412922182342306,0.464264796986869,0.179284791129547,0.176034146758594,0.533176163713533,0.356136422870478,0.247217049941502,0.290502256001145,0.483496814689892,0.1609055836633
"INTC",0.557786528355489,0.401490949230017,0.505093322983117,0.0570156036702354,0.152680459940786,0.284733109594614,0.313037959258537,0.238842453171792,0.33874619119602,0.312061912518464,0.380430243056039,0.381483266330794,0.423243635595536,0.488810664377107,0.412922182342306,1,0.458106664141469,0.0953243303968862,0.187597623699226,0.5117853691659,0.185610444566846,0.298686974392397,0.0922952981781349,0.619137073588941,0.388164904472694
"JPM",0.460482189919963,0.85851942474824,0.741511953592919,0.0918713383684803,0.0737655328565085,0.3169976625395,0.345812011644597,0.167561971086289,0.301706832940301,0.528325742982034,0.423748398708643,0.422603086517848,0.796102027605393,0.566343873061464,0.464264796986869,0.458106664141469,1,0.151015043240458,0.125552419420644,0.46113332638941,0.340317921326017,0.274903356236889,0.215850762435151,0.47813607736025,0.397158721932177
"KO",0.162658653416794,0.0894071184761578,0.222435763698066,0.346892816098715,0.124926509667447,0.17155477643415,0.0669617717977161,0.0504058489275779,0.106645002551134,0.184123144346245,0.20611389805685,0.208200980117073,0.0900778614235658,0.0534753527556468,0.179284791129547,0.0953243303968862,0.151015043240458,1,0.25650984467801,0.261193830230427,0.316385371447421,0.0449676133577774,0.250781694677536,0.104799862660192,0.0180331906295416
"MCD",0.143842055031768,0.0800012986686413,0.2175671209267,0.411328577464119,0.315624319195655,0.17485971140103,-0.0475467814318181,0.119326263666183,0.122701003060056,0.232546906030901,0.163970817494952,0.166293645213255,0.0870505633381066,0.0947127343448467,0.176034146758594,0.187597623699226,0.125552419420644,0.25650984467801,1,0.350630639153764,0.391258035776272,0.0988069331431196,0.289583086372817,0.127696587431599,0.0956760677119287
"MSFT",0.627821598076321,0.450779394155098,0.591040293796751,0.301444967960684,0.271203181975425,0.613966922903153,0.330009420657266,0.382923549451946,0.539004996408604,0.440075385973752,0.632268243081576,0.640780238001783,0.478146712804516,0.451744764617101,0.533176163713533,0.5117853691659,0.46113332638941,0.261193830230427,0.350630639153764,1,0.4509733994182,0.489398450401016,0.380322628762218,0.568211084295054,0.328150796824836
